                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2139,                 1.1951,                 1.0997,                0.69318,                0.33089,                0.37966,                0.24985,                 1.3394,                 1.3998,                 1.1799,             0.00033582,             0.00033582,             0.00033582
                     35,                  1.188,                 1.1816,                 1.0934,                0.43709,                  0.426,                0.39347,                0.27436,                 1.3359,                 1.3596,                 1.1748,             0.00032894,             0.00032894,             0.00032894
                     36,                 1.1712,                 1.1561,                 1.0888,                0.71667,                0.32618,                  0.365,                0.23937,                 1.3364,                 1.3835,                 1.1756,             0.00032206,             0.00032206,             0.00032206
                     37,                 1.1845,                 1.1636,                 1.0929,                0.44952,                0.41884,                0.37669,                 0.2589,                 1.3406,                 1.3804,                 1.1788,             0.00031518,             0.00031518,             0.00031518
                     38,                 1.1674,                 1.1328,                 1.0825,                0.55642,                0.39058,                0.40054,                0.27004,                  1.327,                 1.3509,                 1.1875,              0.0003083,              0.0003083,              0.0003083
                     39,                 1.1307,                  1.103,                 1.0692,                0.60753,                 0.3482,                0.38102,                0.25816,                 1.3221,                 1.3706,                 1.1718,             0.00030142,             0.00030142,             0.00030142
                     40,                 1.1246,                 1.1012,                 1.0686,                0.62923,                0.35594,                0.38872,                0.26486,                 1.3342,                  1.359,                 1.1805,             0.00029454,             0.00029454,             0.00029454
                     41,                 1.1286,                 1.0924,                 1.0668,                0.54309,                0.37752,                0.38385,                0.25944,                  1.304,                 1.3385,                 1.1685,             0.00028766,             0.00028766,             0.00028766
                     42,                 1.1226,                 1.0999,                 1.0641,                0.43808,                0.41576,                0.39056,                0.26467,                 1.3151,                 1.3532,                 1.1717,             0.00028078,             0.00028078,             0.00028078
                     43,                 1.1213,                 1.0788,                 1.0656,                0.49735,                0.41526,                0.38625,                0.26103,                 1.3326,                  1.363,                 1.1845,              0.0002739,              0.0002739,              0.0002739
                     44,                 1.1148,                 1.0775,                 1.0587,                0.58485,                0.41439,                0.40845,                0.26905,                 1.3241,                 1.3627,                  1.177,             0.00026702,             0.00026702,             0.00026702
                     45,                 1.0917,                 1.0416,                 1.0601,                0.51925,                0.40439,                0.38669,                0.26384,                 1.3121,                 1.3574,                 1.1767,             0.00026014,             0.00026014,             0.00026014
                     46,                 1.0819,                 1.0318,                 1.0486,                0.52856,                0.40206,                0.39611,                0.26291,                  1.308,                 1.3551,                 1.1824,             0.00025326,             0.00025326,             0.00025326
                     47,                 1.0762,                 1.0272,                  1.047,                0.60084,                0.39921,                0.42187,                0.28688,                 1.2984,                 1.2963,                 1.1655,             0.00024638,             0.00024638,             0.00024638
                     48,                 1.0705,                 1.0057,                  1.046,                0.66216,                0.36667,                0.38763,                 0.2643,                 1.3197,                 1.3223,                 1.1835,              0.0002395,              0.0002395,              0.0002395
                     49,                 1.0812,                 1.0235,                 1.0508,                0.52506,                0.40315,                0.37639,                0.25352,                 1.3024,                 1.3476,                 1.1881,             0.00023262,             0.00023262,             0.00023262
                     50,                 1.0507,                0.97255,                 1.0355,                0.68551,                 0.3653,                0.40801,                0.27755,                 1.3071,                 1.3319,                 1.1777,             0.00022574,             0.00022574,             0.00022574
                     51,                 1.0483,                0.96841,                 1.0335,                0.59692,                0.39195,                0.39641,                0.26638,                 1.3246,                 1.3306,                 1.1873,             0.00021886,             0.00021886,             0.00021886
                     52,                 1.0586,                0.98332,                 1.0359,                0.61021,                0.37007,                0.41489,                0.29005,                 1.2905,                 1.3123,                 1.1752,             0.00021197,             0.00021197,             0.00021197
                     53,                 1.0238,                0.93686,                 1.0257,                0.51938,                0.42168,                 0.4026,                0.27291,                 1.3155,                 1.3454,                 1.1928,             0.00020509,             0.00020509,             0.00020509
                     54,                 1.0455,                0.94872,                 1.0294,                0.58266,                0.37563,                 0.4151,                0.27793,                  1.318,                 1.3379,                 1.1919,             0.00019821,             0.00019821,             0.00019821
                     55,                 1.0278,                0.94475,                 1.0278,                0.61692,                0.41696,                0.41945,                0.28869,                  1.289,                 1.3138,                 1.1737,             0.00019133,             0.00019133,             0.00019133
                     56,                 1.0095,                0.90541,                 1.0122,                0.54933,                0.40821,                0.41996,                0.28674,                 1.2925,                  1.306,                 1.1689,             0.00018445,             0.00018445,             0.00018445
                     57,                0.98852,                0.87932,                  1.013,                0.48375,                0.46667,                0.43834,                 0.3067,                 1.3089,                 1.3327,                  1.187,             0.00017757,             0.00017757,             0.00017757
                     58,                0.98967,                0.88387,                 1.0101,                0.58474,                0.42655,                0.41408,                0.28385,                 1.3018,                 1.3249,                 1.1821,             0.00017069,             0.00017069,             0.00017069
                     59,                0.96428,                0.86058,                0.99971,                0.46908,                0.48013,                0.43884,                0.30532,                 1.2787,                 1.2908,                 1.1789,             0.00016381,             0.00016381,             0.00016381
                     60,                0.99161,                0.86771,                 1.0061,                0.57084,                   0.41,                0.44531,                0.30642,                 1.2915,                 1.3118,                 1.1741,             0.00015693,             0.00015693,             0.00015693
                     61,                0.98538,                0.85895,                 1.0084,                0.46884,                0.42715,                0.42209,                0.29281,                 1.2854,                 1.3023,                  1.181,             0.00015005,             0.00015005,             0.00015005
                     62,                0.95569,                0.83525,                0.99455,                0.57928,                0.42005,                  0.421,                0.28668,                  1.305,                 1.3193,                 1.1887,             0.00014317,             0.00014317,             0.00014317
